Info 0    [23:15:25.108] Starting TS Server
Info 1    [23:15:25.108] Version: 3.9.6
Info 2    [23:15:25.108] Arguments: /usr/bin/node /usr/bin/tsserver --logFile /home/me/js/dj/life/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/5a9cbc0beb2ea8b4bc3830fa97a3ec61/tscancellation*
Info 3    [23:15:25.109] Platform: linux NodeVersion: 10 CaseSensitive: true
Info 4    [23:15:25.124] Search path: /home/me/js/dj/life/frontend/src
Info 5    [23:15:25.126] For info: /home/me/js/dj/life/frontend/src/App.js :: No config files found.
Info 6    [23:15:25.133] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [23:15:29.598] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 4465ms
Info 8    [23:15:29.598] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [23:15:29.598] 	Files (208)

Info 10   [23:15:29.598] -----------------------------------------------
Info 11   [23:15:29.822] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [23:15:29.824] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 2ms
Info 13   [23:15:32.322] Before ensureProjectForOpenFiles:
Info 14   [23:15:32.323] After ensureProjectForOpenFiles:
Info 15   [23:15:32.323] got projects updated in background, updating diagnostics for /home/me/js/dj/life/frontend/src/App.js
Info 16   [23:15:42.16] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [23:15:42.99] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 83ms
Info 18   [23:15:42.99] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 19   [23:15:43.679] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [23:15:43.754] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 75ms
Info 21   [23:15:43.754] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 22   [23:15:44.12] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [23:15:44.79] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 67ms
Info 24   [23:15:44.79] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 25   [23:15:44.789] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [23:15:44.846] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 57ms
Info 27   [23:15:44.846] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 28   [23:15:45.494] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
